date,Data da coleta,interval,NDVI_median,NDCI_median,B1_median,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8_median,B8A_median,B9_median,B11_median,B12_median,Resultado
2019-01-28,2019-01-28,9,-0.3964034401876465,-0.0345963756177924,0.0419,0.056,0.0794,0.087,0.083,0.0431,0.0422,0.0378,0.0322,0.012,0.0245,0.0212,251
2019-01-30,2019-01-28,9,-0.5239179954441913,-0.0408635312259059,0.0267,0.0418,0.0617,0.0671,0.0618,0.0243,0.0269,0.0209,0.0169,0.0406,0.0137,0.0132,251
2019-02-14,2019-02-11,12,-0.7004680187207487,-0.101956745623069,0.0263,0.0337,0.0592,0.0544,0.0443,0.012,0.0122,0.0096,0.0066,0.0001,0.0053,0.0052,335
2019-03-01,2019-02-25,15,-0.7759674134419553,-0.1387808041504539,0.0224,0.0353,0.0557,0.0446,0.0336,0.007,0.0086,0.0056,0.0026,0.0001,0.0032,0.0035,298
2019-03-21,2019-03-18,19,-0.6083150984682714,-0.1033938437253354,0.0353,0.0489,0.0744,0.0733,0.0595,0.0207,0.0224,0.0177,0.0125,0.0055,0.0086,0.0078,76
2019-03-24,2019-03-26,20,-0.6146572104018911,-0.0959119496855345,0.0285,0.0432,0.0675,0.0682,0.0562,0.0199,0.0212,0.0162,0.0122,0.0012,0.0055,0.0042,186
2019-03-26,2019-03-26,20,-0.596130592503023,-0.0880134115674769,0.0397,0.0449,0.0702,0.0661,0.0555,0.0199,0.0199,0.0167,0.0122,0.0036,0.0076,0.0066,186
2019-04-10,2019-04-09,23,-0.6745562130177515,-0.1170984455958549,0.0235,0.0386,0.0609,0.0555,0.0435,0.013,0.0145,0.0109,0.0079,0.0007,0.0051,0.0044,26
2019-05-18,2019-05-20,31,-0.5848434925864909,-0.0474114441416893,0.0317,0.0441,0.077,0.0961,0.087,0.0331,0.0324,0.0251,0.0174,0.0001,0.0059,0.0059,374
2019-06-17,2019-06-17,37,-0.6394557823129252,-0.0611814345991561,0.0468,0.0405,0.0482,0.0502,0.0445,0.0163,0.0147,0.0112,0.0085,0.0001,0.0055,0.0076,134
2019-07-04,2019-07-01,40,-0.6853932584269662,-0.1347826086956522,0.0187,0.0271,0.0517,0.0522,0.0399,0.0114,0.0117,0.0096,0.0062,0.0001,0.0041,0.0045,600
2019-07-17,2019-07-15,43,-0.0533652798954475,-0.0039404553415061,0.2673,0.2502,0.2469,0.2414,0.2382,0.2138,0.2121,0.2159,0.2113,0.188,0.2135,0.1895,20
2019-07-29,2019-07-29,45,-0.1466042154566744,0.0160919540229884,0.0687,0.0781,0.081,0.0956,0.0987,0.0669,0.0703,0.0725,0.0748,0.2087,0.0537,0.0839,70
2019-09-02,2019-09-02,52,-0.5629453681710214,-0.0781758957654723,0.0402,0.0449,0.0656,0.0659,0.0565,0.0223,0.0219,0.0183,0.0124,0.0055,0.0058,0.0041,0
2019-09-25,2019-09-23,57,-0.5167652859960552,-0.0451436388508892,0.0395,0.0464,0.0678,0.0778,0.0709,0.0302,0.0294,0.0247,0.0173,0.005,0.0053,0.0048,8
2019-09-27,2019-09-23,57,-0.4080267558528428,-0.0191518467852256,0.0704,0.0681,0.0796,0.0855,0.0817,0.0421,0.0419,0.0359,0.0281,0.0471,0.0153,0.0141,8
2019-09-30,2019-09-30,58,-0.4956331877729257,-0.0363901018922852,0.0387,0.0497,0.0666,0.0711,0.0659,0.0298,0.0297,0.0241,0.0179,0.0074,0.0075,0.0063,0
2019-11-06,2019-11-04,65,-0.3513189448441247,0.0078260869565217,0.035,0.0497,0.0801,0.1155,0.1181,0.0646,0.0652,0.0558,0.0392,0.0125,0.0091,0.0081,0
2019-11-19,2019-11-18,68,-0.1599271402550091,-0.0144741074300418,0.0989,0.1258,0.1447,0.1533,0.1499,0.1111,0.1106,0.1122,0.0986,0.0828,0.0973,0.0862,0
2019-11-21,2019-11-18,68,-0.5007342143906021,-0.0213178294573643,0.0308,0.0318,0.0465,0.0506,0.0483,0.0206,0.0206,0.0168,0.0125,0.0095,0.0061,0.0059,0
2019-12-04,2019-12-02,71,-0.1405013192612137,-0.0084131128517551,0.106,0.1455,0.1707,0.1685,0.1651,0.1229,0.1164,0.1277,0.1059,0.0719,0.1024,0.0845,0
2019-12-06,2019-12-02,71,-0.6506024096385542,-0.0769230769230769,0.0281,0.0412,0.062,0.055,0.0473,0.0135,0.0157,0.0116,0.0073,0.0039,0.0066,0.0062,0
2019-12-19,2019-12-20,74,-0.1504571903574397,-0.0131736526946108,0.1029,0.1319,0.1513,0.1426,0.1371,0.1054,0.1041,0.1048,0.0952,0.0813,0.0936,0.0831,0
2020-01-10,2020-01-06,78,-0.7142857142857144,0.0268741159830268,0.0247,0.0296,0.052,0.0357,0.0376,0.0092,0.0096,0.0059,0.004,0.0034,0.0047,0.0054,1404
2020-01-23,2020-01-21,81,-0.2253465346534653,-0.0235457063711911,0.1194,0.1393,0.1636,0.1533,0.1466,0.1008,0.1001,0.0964,0.0897,0.0807,0.0835,0.0722,150
2020-01-25,2020-01-21,81,-0.2471131639722863,-0.0078125,0.0498,0.0678,0.0919,0.0878,0.0844,0.0522,0.0548,0.0532,0.0462,0.0406,0.0352,0.0276,150
2020-02-27,2020-02-26,88,-0.4682080924855492,-0.0627615062761505,0.0239,0.0378,0.0561,0.0391,0.0346,0.0152,0.0167,0.0138,0.0123,0.0073,0.0099,0.0086,360
2020-02-29,2020-02-26,88,-0.6030927835051547,-0.0360655737704918,0.0205,0.0253,0.044,0.0315,0.0291,0.0091,0.0094,0.0078,0.0057,0.0003,0.0036,0.004,360
2020-03-20,2020-03-16,92,-0.4710743801652893,-0.0838445807770961,0.0516,0.0383,0.0415,0.0285,0.0254,0.0132,0.0133,0.0108,0.009,0.0082,0.0067,0.0048,40
2020-05-27,2020-05-26,106,-0.7246653919694074,-0.1248454882571075,0.0167,0.0355,0.0571,0.0453,0.0353,0.009,0.0095,0.0072,0.0047,0.0001,0.003,0.003,1897
2020-05-29,2020-05-26,106,-0.671077504725898,-0.1206896551724137,0.0264,0.0345,0.0573,0.0451,0.0355,0.0101,0.0106,0.0089,0.0063,0.0001,0.0029,0.003,1897
2020-06-21,2020-06-23,111,-0.6145833333333333,-0.0740072202166064,0.0192,0.0336,0.0588,0.0595,0.0511,0.0181,0.0185,0.0139,0.0106,0.0003,0.0068,0.0065,556
2020-06-23,2020-06-23,111,-0.6454545454545454,-0.0589390962671905,0.0199,0.0352,0.0527,0.0546,0.0485,0.015,0.0169,0.0116,0.0083,0.0001,0.0041,0.0037,556
2020-08-05,2020-08-06,120,-0.522697795071336,-0.0417036379769299,0.0208,0.0345,0.0503,0.0587,0.0536,0.0232,0.0232,0.0184,0.0132,0.0041,0.0059,0.0046,364
2020-08-07,2020-08-06,120,-0.4346060113728675,-0.0476190476190476,0.152,0.1017,0.0935,0.0813,0.0735,0.0529,0.0462,0.0333,0.0436,0.0455,0.0435,0.0472,364
2020-09-24,2020-09-24,130,-0.5874673629242819,-0.030859049207673,0.0223,0.0358,0.0528,0.0622,0.0582,0.0217,0.0218,0.016,0.0099,0.0001,0.0046,0.0048,0
2020-10-06,2020-10-06,132,-0.3328738800827016,-0.0128799587841318,0.0581,0.0592,0.0846,0.0963,0.0939,0.058,0.0609,0.0489,0.0511,0.0518,0.0301,0.0294,216
2020-12-08,2020-12-09,145,-0.1249370277078085,-0.0142071494042163,0.164,0.2063,0.2292,0.2123,0.2113,0.1657,0.1622,0.1666,0.1498,0.1461,0.1425,0.1221,1486
2020-12-10,2020-12-09,145,-0.4343707713125845,0.0190839694656488,0.0336,0.0472,0.066,0.0523,0.0545,0.023,0.0239,0.0207,0.0164,0.0116,0.0137,0.0122,1486
2020-12-23,2020-12-23,148,-0.0701660417782538,0.0182193193537297,0.0917,0.1255,0.1425,0.1296,0.1337,0.1047,0.1059,0.1125,0.0938,0.0747,0.094,0.0814,25659
2020-12-28,2020-12-30,149,-0.2291666666666666,-0.0134275618374558,0.0509,0.0443,0.046,0.0372,0.0356,0.024,0.0244,0.0224,0.0207,0.0252,0.0207,0.0168,1766
2020-12-30,2020-12-30,149,-0.4601449275362319,0.0389016018306636,0.0288,0.0394,0.0551,0.0413,0.0448,0.0182,0.0201,0.0154,0.0125,0.0066,0.0098,0.0083,1766
2021-02-26,2021-02-25,161,-0.491358024691358,-0.0394904458598725,0.0282,0.0404,0.065,0.0624,0.057,0.0237,0.0236,0.0212,0.0154,0.0088,0.0123,0.011,612
2021-03-08,2021-03-10,163,-0.4240422721268164,-0.0244821092278719,0.042,0.0476,0.066,0.0534,0.0509,0.025,0.0245,0.0217,0.0179,0.0136,0.0128,0.0109,10387
2021-03-10,2021-03-10,163,-0.5178316690442225,-0.0286259541984733,0.0378,0.0476,0.0638,0.0534,0.0506,0.0194,0.0218,0.017,0.0137,0.0115,0.0106,0.0104,10387
