Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instituição,CNPJ da Instituição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA / UTA,Ano de referência,Mês de referência,Data de registro ,Data de preenchimento do relatório mensal,Data da coleta,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrânea,Nome do ponto de captação subterrânea,Parâmetro,Unidade,Resultado
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,1,2015/01/16 00:00:00.000,2014-01-31,2014-01-20,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,207
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,8,2015/01/21 00:00:00.000,2014-08-31,2014-08-18,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1733
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,8,2015/01/21 00:00:00.000,2014-08-31,2014-08-18,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,71
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,4,2015/01/20 00:00:00.000,2014-04-30,2014-04-07,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,34
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,4,2015/01/20 00:00:00.000,2014-04-30,2014-04-14,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,365
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-13,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,28
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-27,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,28
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,1,2015/01/12 00:00:00.000,2014-01-31,2014-01-20,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,185
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,2,2015/01/19 00:00:00.000,2014-02-28,2014-02-24,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,547
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,11,2015/01/22 00:00:00.000,2014-11-30,2014-11-24,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1120
