date,amostragem,y_true,y_pred
2021-05-12,2021-05-13,6997,1455.697460962528
2021-06-11,2021-06-10,1529,168.90350941648802
2021-06-13,2021-06-10,1529,22.3357241858197
2021-07-16,2021-07-14,0,332.1341258014411
2021-07-18,2021-07-14,0,82.75163461355096
2021-08-22,2021-08-19,1664,1200.9666426406516
2021-10-06,2021-10-06,594,182.42184128590162
2021-11-13,2021-11-15,1836,1308.686085493576
2021-12-10,2021-12-09,8323,1382.5370406146003
2021-12-20,2021-12-17,9667,902.061889447072
2021-12-28,2021-12-29,2772,1630.981755172192
2021-12-30,2021-12-29,2772,2107.761857782763
2022-01-07,2022-01-05,1783,3473.685622073036
2022-01-12,2022-01-11,28508,4168.0103579037295
2022-01-14,2022-01-11,28508,11498.069576608992
2022-01-24,2022-01-20,10674,4651.938593216364
2022-01-29,2022-01-26,6142,868.848971513315
2022-02-11,2022-02-10,10557,3583.1762108579283
2022-02-16,2022-02-16,1793,1488.5872889720974
2022-02-18,2022-02-16,1793,1182.9150645137347
2022-03-03,2022-03-03,3077,1164.1992975244439
2022-03-05,2022-03-03,3077,2392.738253185599
2022-03-18,2022-03-16,614,2857.089428384178
2022-04-02,2022-04-01,1436,360.7301710840061
2022-04-14,2022-04-13,3083,185.26614186848664
